work_id,source,date_not_before,date_not_after,date_type,confidence,note,ref
KR1a0001,filename_dynasty,-1046,-256,dynasty_bound,low,dynasty_label=周,
KR1a0002,kr_catalog,-507,-400,author_lifespan_bound,medium,person=卜商 function=撰 dates=-507 - -400,KR-Catalog
KR1a0003,cbdb,127,200,author_lifespan_bound,medium,name=鄭玄 id=450758,CBDB_20240208_DATA2
KR1a0004,cbdb,127,200,author_lifespan_bound,medium,name=鄭玄 id=450758,CBDB_20240208_DATA2
KR1a0005,filename_dynasty,229,280,dynasty_bound,low,dynasty_label=吳,
KR1a0006,kr_catalog,226,249,author_lifespan_bound,medium,person=王弼 function=註 dates=226 - 249,KR-Catalog
KR1a0007,kr_catalog,226,249,author_lifespan_bound,medium,person=王弼 function=注 dates=226 - 249,KR-Catalog
KR1a0008,filename_dynasty,618,907,dynasty_bound,low,dynasty_label=唐,
KR1a0009,filename_dynasty,618,907,dynasty_bound,low,dynasty_label=唐,
KR1a0010,filename_dynasty,618,907,dynasty_bound,low,dynasty_label=唐,
KR1a0011,cbdb,1011,1064,author_lifespan_bound,medium,name=劉牧 id=1216,CBDB_20240208_DATA2
KR1a0012,cbdb,993,1059,author_lifespan_bound,medium,name=胡瑗 id=3404,CBDB_20240208_DATA2
KR1a0013,cbdb,1019,1086,author_lifespan_bound,medium,name=司馬光 id=1488,CBDB_20240208_DATA2
KR1a0014,cbdb,1020,1077,author_lifespan_bound,medium,name=張載 id=11658,CBDB_20240208_DATA2
KR1a0015,cbdb,1036,1101,author_lifespan_bound,medium,name=蘇軾 id=3767,CBDB_20240208_DATA2
KR1a0016,cbdb,1033,1107,author_lifespan_bound,medium,name=程頤 id=3105,CBDB_20240208_DATA2
KR1a0017,cbdb,1057,1134,author_lifespan_bound,medium,name=邵伯溫 id=20864,CBDB_20240208_DATA2
KR1a0018,cbdb,1057,1122,author_lifespan_bound,medium,name=陳瓘 id=7128,CBDB_20240208_DATA2
KR1a0019,cbdb,1062,1121,author_lifespan_bound,medium,name=張根 id=255,CBDB_20240208_DATA2
KR1a0020,cbdb,1082,1127,floruit_bound,medium,name=耿南仲 id=8069,CBDB_20240208_DATA2
KR1a0021,cbdb,1097,1164,author_lifespan_bound,medium,name=張浚 id=211,CBDB_20240208_DATA2
KR1a0022,kr_catalog,,1155,author_lifespan_bound,low,person=李光 function=撰 dates=d. 1155,KR-Catalog
KR1a0023,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0024,kr_catalog,1072,1138,author_lifespan_bound,medium,person=朱震 function=撰 dates=1072 - 1138,KR-Catalog
KR1a0025,cbdb,1088,1154,author_lifespan_bound,medium,name=鄭剛中 id=14034,CBDB_20240208_DATA2
KR1a0026,kr_catalog,1146,1146,author_lifespan_bound,medium,person=吳沆 function=撰 dates=fl. 1146,KR-Catalog
KR1a0027,cbdb,1152,1158,floruit_bound,medium,name=都絜 id=99804,CBDB_20240208_DATA2
KR1a0028,cbdb,1142,1189,floruit_bound,medium,name=林栗 id=11450,CBDB_20240208_DATA2
KR1a0029,cbdb,1123,1195,author_lifespan_bound,medium,name=程大昌 id=3109,CBDB_20240208_DATA2
KR1a0030,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0031,cbdb,1130,1200,author_lifespan_bound,medium,name=朱熹 id=3257,CBDB_20240208_DATA2
KR1a0032,cbdb,1130,1200,author_lifespan_bound,medium,name=朱熹 id=3257,CBDB_20240208_DATA2
KR1a0033,kr_catalog,1104,,author_lifespan_bound,low,person=郭雍 function=撰 dates=b. 1104,KR-Catalog
KR1a0034,kr_catalog,1100,1178,author_lifespan_bound,medium,person=李衡 function=撰 dates=1100 - 1178,KR-Catalog
KR1a0035,cbdb,1133,1180,author_lifespan_bound,medium,name=張栻 id=7164,CBDB_20240208_DATA2
KR1a0036,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0037,kr_catalog,1140,1225,author_lifespan_bound,medium,person=楊簡 function=撰 dates=1140 - 1225,KR-Catalog
KR1a0038,kr_catalog,1146,1208,author_lifespan_bound,medium,person=項安世 function=述 dates=1146 - 1208,KR-Catalog
KR1a0039,kr_catalog,1143,1189,author_lifespan_bound,medium,person=趙善譽 function=撰 dates=1143 - 1189,KR-Catalog
KR1a0040,cbdb,1127,1206,author_lifespan_bound,medium,name=楊萬里 id=10566,CBDB_20240208_DATA2
KR1a0041,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0042,kr_catalog,1137,,author_lifespan_bound,low,person=吳仁傑 function=撰 dates=b. 1137,KR-Catalog
KR1a0043,cbdb,1137,1181,author_lifespan_bound,medium,name=呂祖謙 id=7055,CBDB_20240208_DATA2
KR1a0044,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0045,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0046,kr_catalog,1217,1217,author_lifespan_bound,medium,person=馮椅 function=撰 dates=fl. 1217,KR-Catalog
KR1a0047,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0048,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0049,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0050,cbdb,1167,1244,author_lifespan_bound,medium,name=李心傳 id=10831,CBDB_20240208_DATA2
KR1a0051,cbdb,1189,1256,author_lifespan_bound,medium,name=趙以夫 id=14811,CBDB_20240208_DATA2
KR1a0052,kr_catalog,1148,1236,author_lifespan_bound,medium,person=蔡淵 function=撰 dates=1148 - 1236,KR-Catalog
KR1a0053,kr_catalog,1148,1236,author_lifespan_bound,medium,person=蔡淵 function=撰 dates=1148 - 1236,KR-Catalog
KR1a0054,cbdb,1178,1237,author_lifespan_bound,medium,name=魏了翁 id=4001,CBDB_20240208_DATA2
KR1a0055,kr_catalog,1194,1194,author_lifespan_bound,medium,person=鄭汝諧 function=撰 dates=fl. 1194,KR-Catalog
KR1a0056,kr_catalog,1190,1258,author_lifespan_bound,medium,person=朱鑑 function=編 dates=1190 - 1258,KR-Catalog
KR1a0057,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0058,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0059,kr_catalog,1203,1203,author_lifespan_bound,medium,person=李杞 function=撰 dates=fl. 1203,KR-Catalog
KR1a0060,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0061,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0062,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0063,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0064,kr_catalog,1258,1314,author_lifespan_bound,medium,person=兪琰 function=撰 dates=1258 - 1314,KR-Catalog
KR1a0065,kr_catalog,1258,1314,author_lifespan_bound,medium,person=兪琰 function=撰 dates=1258 - 1314,KR-Catalog
KR1a0066,filename_dynasty,960,1279,dynasty_bound,low,dynasty_label=宋,
KR1a0067,kr_catalog,1230,1301,author_lifespan_bound,medium,person=雷思齊 function=撰 dates=1230 - 1301,KR-Catalog
KR1a0068,kr_catalog,1209,1281,author_lifespan_bound,medium,person=許衡 function=撰 dates=1209 - 1281,KR-Catalog
KR1a0069,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0070,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0071,cbdb,1249,1333,author_lifespan_bound,medium,name=吳澄 id=10084,CBDB_20240208_DATA2
KR1a0072,cbdb,1249,1333,author_lifespan_bound,medium,name=吳澄 id=10084,CBDB_20240208_DATA2
KR1a0073,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0074,cbdb,1256,1258,floruit_bound,medium,name=趙采 id=99699,CBDB_20240208_DATA2
KR1a0075,kr_catalog,1305,1305,author_lifespan_bound,medium,person=胡震 function=撰 dates=fl. 1305,KR-Catalog
KR1a0076,kr_catalog,1260,1346,author_lifespan_bound,medium,person=黃澤 function=撰 dates=1260 - 1346,KR-Catalog
KR1a0077,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0078,cbdb,1250,1333,author_lifespan_bound,medium,name=胡炳文 id=34365,CBDB_20240208_DATA2
KR1a0079,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0080,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0081,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0082,cbdb,1255,1335,author_lifespan_bound,medium,name=龍仁夫 id=52109,CBDB_20240208_DATA2
KR1a0083,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0084,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0085,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0086,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0087,kr_catalog,1346,1346,author_lifespan_bound,medium,person=錢義方 function=撰 dates=fl. 1346,KR-Catalog
KR1a0088,filename_dynasty,1271,1368,dynasty_bound,low,dynasty_label=元,
KR1a0089,cbdb,1303,1389,author_lifespan_bound,medium,name=梁寅 id=28381,CBDB_20240208_DATA2
